filename,location,side,area_d,major_d,minor_d,circ_d,feret_d,minferet_d,ar_d,efd_0_d,efd_1_d,efd_2_d,efd_3_d,efd_4_d,efd_5_d,efd_6_d,efd_7_d,efd_8_d,efd_9_d,efd_10_d,efd_11_d,efd_12_d,efd_13_d,efd_14_d,efd_15_d,efd_16_d,efd_17_d,efd_18_d,efd_19_d,efd_20_d,efd_21_d,efd_22_d,efd_23_d,efd_24_d,colour_0_r_d,colour_0_g_d,colour_0_b_d,colour_1_r_d,colour_1_g_d,colour_1_b_d,percentage_0_d,percentage_1_d,area_v,major_v,minor_v,circ_v,feret_v,minferet_v,ar_v,efd_0_v,efd_1_v,efd_2_v,efd_3_v,efd_4_v,efd_5_v,efd_6_v,efd_7_v,efd_8_v,efd_9_v,efd_10_v,efd_11_v,efd_12_v,efd_13_v,efd_14_v,efd_15_v,efd_16_v,efd_17_v,efd_18_v,efd_19_v,efd_20_v,efd_21_v,efd_22_v,efd_23_v,efd_24_v,colour_0_r_v,colour_0_g_v,colour_0_b_v,colour_1_r_v,colour_1_g_v,colour_1_b_v,percentage_0_v,percentage_1_v,species
CAM046142,0,1,81.65680219,16.73905484,6.918100254,0.46046274,17.20062865,7.318001406,2.419602814,-0.454715563,-0.084273179,0.049207638,-0.052266457,-0.061299131,0.040191226,0.017556313,0.013972255,-0.034832944,-0.045627422,0.036957649,0.01056217,0.028365326,0.00427104,0.008498223,0.024740311,-0.00119834,-0.014909603,0.00969404,-0.000432624,-4.82E-05,-0.00031077,-0.00938542,-0.003366964,0.00226389,0.737270643,0.634068362,0.415415306,0.841869865,0.742365468,0.542525122,0.310384857,0.689615143,102.7038242,19.36726284,8.531837253,0.298575174,19.56859909,8.525753357,2.269999095,-0.348665723,0.029205352,0.000442478,-0.104243346,-0.10332929,-0.017029262,0.046291133,0.041156565,-0.061599349,0.00800338,0.007833603,0.014665409,0.013340946,-0.013751428,0.025661592,0.00210543,0.012169544,0.004527187,3.27E-06,0.030614108,-0.013689362,-0.009735632,-0.006210253,-0.01030404,0.033820932,0.72596313,0.642058539,0.42972119,0.827858924,0.762105048,0.578815058,0.304820783,0.695179217,2
CAM046144,0,1,103.3892879,19.48100053,8.5158793,0.305969246,19.57077027,8.589344203,2.287608813,-0.347782554,0.043802549,-0.01026476,-0.118764263,-0.106833022,-0.018385961,0.041504534,0.034394954,-0.070479701,0.017112016,0.009942036,0.014166852,0.00606625,-0.015054844,0.024915856,-0.006480637,0.007320353,0.005893598,0.004370548,0.037047848,-0.020367087,-0.008532228,-0.004989635,-0.014435581,0.032514047,0.843028294,0.777022154,0.592068218,0.743054078,0.659236338,0.443817334,0.685380878,0.314619122,103.5552547,19.77505589,8.520470361,0.305463271,19.72019504,8.513900173,2.320887821,-0.347370807,0.056693967,-0.010330266,0.105133968,-0.101132545,-0.011658211,-0.03404904,-0.025657413,-0.080996092,0.011774759,-0.010143221,-0.011008439,0.007133421,-0.010850063,-0.0252098,-0.000277072,0.009028893,0.000893172,-0.001871384,-0.024369586,-0.025006698,-0.008461321,-0.003759176,-0.003159107,0.038247389,0.712146527,0.629793652,0.424841431,0.823822393,0.7715466,0.617453556,0.26799758,0.73200242,2
CAM046146,0,1,90.83168686,17.11339127,7.928751211,0.401225096,18.04506487,8.02238337,2.158396803,-0.473072301,-0.124260371,0.105228197,-0.05837665,-0.027712203,0.020368606,0.048295376,0.006623604,-0.005204206,-0.023449761,0.067594028,0.027445333,0.053855505,0.013675662,0.002495117,0.021410949,0.007137246,0.010142032,0.016037821,0.010449316,0.016193511,0.013494392,-0.023643887,0.000943146,-0.000263569,0.84873353,0.790896965,0.615730577,0.734111129,0.655708403,0.452464787,0.785847693,0.214152307,90.18260908,17.09939525,7.98326799,0.420177674,18.01442873,7.978583253,2.141904201,-0.48004662,-0.12926156,-0.118421911,0.060388075,-0.023303952,0.029842429,-0.044080251,-0.011874645,-0.004617372,-0.031942208,-0.069591604,-0.026630172,0.052405275,0.022282366,-0.007027399,-0.024263811,0.005151097,0.008976991,-0.010134004,-0.008959114,0.012533806,0.015631001,0.023377996,-0.000584453,-0.001446368,0.740135904,0.668422367,0.486432273,0.850002674,0.798692746,0.656564466,0.25262383,0.74737617,2
CAM046147,0,1,92.75708866,17.59020694,7.422180598,0.520662262,18.08465978,7.720340718,2.369951352,-0.457782319,-0.051688331,0.033263896,-0.05629234,-0.079929418,0.052910422,0.007845939,0.004032846,-0.037995569,-0.033193274,0.028774081,0.007647959,0.011806601,0.000451142,0.005983962,0.0169328,0.002737396,-0.017773028,0.015875358,0.009272207,0.003612761,-0.003055638,-0.001461027,0.005382186,0.003395538,0.856659413,0.75060011,0.539626708,0.742742482,0.62875892,0.399154971,0.673959907,0.326040093,93.14512685,17.22247508,7.786769535,0.538800998,17.85451802,7.735499473,2.211761245,-0.473800948,-0.05483271,-0.043266971,0.054406746,-0.075296299,0.053512925,-0.006273339,-1.63E-05,-0.043095572,-0.03124735,-0.03070215,-0.007586969,0.015748178,0.002229094,-0.004026562,-0.013513371,-0.001101575,-0.014922691,-0.015923972,-0.009520407,0.007120969,-0.003907332,0.00226442,-0.004291772,0.0017871,0.693977967,0.580334434,0.391087971,0.841727888,0.76895673,0.604693276,0.234543129,0.765456871,2
CAM046148,0,1,101.9563871,19.40472267,7.783277472,0.476733864,19.73666321,8.173059914,2.493130013,-0.440186108,-0.063680285,0.043362357,-0.060125679,-0.083378957,0.060722061,0.018449268,0.000431225,-0.039279649,-0.029553375,0.027633686,0.005085269,0.008410306,0.008554017,0.002532286,0.018584119,0.000333519,-0.017706014,0.010147013,0.000812066,-0.002133553,0.000271625,-0.005208796,-0.002305221,0.000972873,0.808224846,0.698344156,0.488952641,0.674044111,0.54457993,0.32140313,0.673911848,0.326088152,101.5171739,19.02232692,7.911476709,0.487865013,19.75504277,8.106943948,2.404396502,-0.439298888,-0.055648014,-0.0543491,0.054709519,-0.08560989,0.062728544,-0.013388626,-0.002304692,-0.041101369,-0.027822482,-0.029554484,-0.006102836,0.008221929,0.006772157,-0.003391584,-0.02019348,0.000731847,-0.016353105,-0.012908996,-0.003881044,-0.002505883,-0.00090598,0.004734079,-0.000438145,-0.000876679,0.629310441,0.512462787,0.337235481,0.835192763,0.752214877,0.591683423,0.348191313,0.651808687,2
CAM046210,0,1,111.0739933,21.14838278,7.764628231,0.492244333,20.36411273,8.407268958,2.723682597,-0.414593275,0.03739859,0.024074355,-0.024010137,0.091502525,0.06612038,-0.014744151,0.030486657,-0.068825228,0.01916919,0.023127561,0.005513216,-0.026281984,0.008937786,-0.007039647,-0.002889696,-0.018693217,0.010461372,0.011321586,0.009524575,-0.015764748,-0.0012616,-0.000567554,-0.004123433,-0.007909967,0.730065914,0.593960309,0.36072498,0.836000003,0.712195174,0.496355315,0.345173479,0.654826521,111.320009,21.27363549,7.660867482,0.493529485,20.34906375,8.386377598,2.776922527,-0.413985076,-0.03871168,0.029450332,-0.018944917,-0.0919433,0.06930761,0.013291143,-0.029457626,-0.070238266,-0.023184,0.021001454,0.005698393,0.026423625,0.009524575,0.007202316,0.00163953,-0.016740662,-0.013416732,0.008071854,0.009774518,0.017912322,-0.001990596,0.000949948,0.004144296,-0.006098758,0.562933049,0.420489084,0.252932279,0.829881497,0.72680724,0.537710648,0.191590747,0.808409253,1
CAM046211,0,1,96.44990697,18.52682696,7.465080532,0.507557924,18.46793628,8.005251595,2.481798673,-0.467678165,-0.051429716,0.026389116,-0.062758154,-0.07924836,0.066994151,0.013767886,-0.006281013,-0.047724667,-0.027448083,0.02903388,-0.004877209,0.008214572,0.003563536,0.005552196,0.013757389,-0.004375621,-0.016547095,0.014362722,0.007021226,-0.003380214,0.002697737,-0.002926897,-0.001885823,-0.000415783,0.73406073,0.558597794,0.311966783,0.823672838,0.673371351,0.442613259,0.41574498,0.58425502,96.14896024,18.26565823,7.381630747,0.504105341,18.50211024,7.893395859,2.47447466,-0.461417695,-0.040741729,-0.051203901,0.047164998,-0.081711184,0.061779572,-0.00425477,0.004877621,-0.050883427,-0.029258263,-0.02890117,0.003941126,0.008366545,0.002587555,-0.004936045,-0.013451389,-7.42E-05,-0.011050156,-0.017245897,-0.00698186,-0.00418569,-0.000932212,0.005713735,0.002144152,0.000343415,0.815693214,0.728928743,0.545859785,0.534944948,0.406780327,0.246746347,0.812897813,0.187102187,0
CAM046212,0,1,85.90878986,16.73242647,7.486431643,0.521456808,17.05517131,7.743477524,2.235033627,-0.489694412,-0.070074818,0.061661766,-0.047453367,-0.08436936,0.055752841,0.017998899,-0.002762332,-0.041526808,-0.02958214,0.034289056,0.011779027,0.01311174,0.008901443,0.000201093,0.007608977,-0.00636447,-0.012249389,0.00741288,0.005136952,-0.000319795,0.000819995,-0.009409917,-0.010099468,-0.001697549,0.761599533,0.574416599,0.324552198,0.841165861,0.680594331,0.45085504,0.463832356,0.536167644,87.10882083,16.70852095,7.529137169,0.488044487,17.12381203,7.825345011,2.219181371,-0.49195255,-0.098341172,-0.073114994,0.026874155,-0.076563274,0.042076748,-0.026338288,-0.014065759,-0.035529767,-0.036779927,-0.040119045,-0.020726466,0.013557553,0.010743859,0.002752866,-0.008461032,-0.010618967,-0.011923474,-0.002209486,0.00019715,-0.001232009,0.001851083,0.013193896,0.014627975,-0.00012765,0.817840223,0.726969515,0.552020898,0.501879926,0.378937694,0.230499032,0.830086806,0.169913194,0
CAM046213,0,1,88.88351452,17.72186584,7.10240856,0.549938689,17.28813305,7.544689,2.495190989,-0.473850128,-0.032327498,0.030932663,-0.057535793,-0.075913947,0.063113515,0.009754174,-0.015399815,-0.063057354,-0.020146311,0.029185427,-0.002058152,0.01433348,0.008629155,0.005657568,0.004768272,-0.013033375,-0.011229562,0.019147335,0.004822218,0.006243121,0.00430214,0.000388917,0.003320663,-0.007698434,0.824636626,0.659504965,0.423549019,0.711446822,0.519027083,0.269099484,0.567883841,0.432116159,89.03539637,17.30566169,7.320992774,0.565249447,17.31053672,7.527751095,2.363840837,-0.474768672,-0.030737399,-0.04287518,0.053511256,-0.074759475,0.061606238,-0.005080505,0.016312879,-0.061146641,-0.020146944,-0.033040287,-0.000498613,0.016525125,0.006296197,-0.002478321,-0.004530583,-0.009980685,-0.01178593,-0.018437816,-0.007557538,0.007357215,0.002009237,0.000200563,-0.00303966,-0.00695244,0.566225323,0.435550889,0.267897871,0.827148438,0.734678115,0.551284305,0.256919153,0.743080847,0
CAM046214,0,1,76.01839377,16.23656018,6.946252323,0.489789823,16.30938584,7.223034063,2.337456145,-0.483746398,-0.088892925,0.04672249,-0.053844681,-0.081743856,0.043722484,0.025535677,0.015594385,-0.043255897,-0.031877952,0.034247321,0.005750049,0.006997329,0.009177012,-0.004596939,0.019152967,-0.003341011,-0.01520586,0.003493865,-0.001319336,-0.002985906,-0.001993892,-0.017522324,-0.001913245,0.000106584,0.822124347,0.693572052,0.474552371,0.720274516,0.575233671,0.334726031,0.686677722,0.313322278,75.75265921,15.92403742,6.823670408,0.499479223,16.2922919,7.186805084,2.333646919,-0.478422072,-0.063850511,-0.047885667,0.058908898,-0.083333551,0.049366201,-0.012827421,-0.005901533,-0.044592948,-0.03206058,-0.034798115,0.001143326,0.011130104,0.007569343,0.002768947,-0.018259893,0.001118052,-0.015169376,-0.006629878,-0.000363592,0.00043802,-0.003778213,0.015572901,-0.001449044,0.001322485,0.642490794,0.534228439,0.34282351,0.827298698,0.745889165,0.571913248,0.297299633,0.702700367,0
CAM046215,0,1,92.67234469,17.65398453,7.679337525,0.480697202,17.84406245,7.815784538,2.298894205,-0.479556384,-0.091005603,0.055697817,-0.068196476,-0.059804079,0.050812749,0.018619352,0.003156022,-0.041638871,-0.03048502,0.025076064,0.014700801,0.009285479,0.012957395,-0.00637346,0.020753939,-0.018127476,-0.010634059,0.002361107,0.004957784,-0.002499152,0.002958653,-0.010871169,0.003638395,-0.001515836,0.86710981,0.731215056,0.506619281,0.758599076,0.608777055,0.369848646,0.501325672,0.498674328,92.96718798,17.02687461,8.136697892,0.523409005,17.85163842,7.851435433,2.092602531,-0.481543632,-0.073118387,-0.064613646,0.049707289,-0.068232457,0.056297249,-0.017087068,-0.002675844,-0.04175022,-0.029835838,-0.032093361,-0.014115348,0.015666099,0.010192969,0.001967257,-0.018273376,-0.010242195,-0.012758764,-0.006367828,-0.003562073,-0.00021944,0.000453015,0.010913151,0.000981546,-0.002857451,0.851642378,0.779535543,0.632744311,0.706159086,0.608569414,0.424387861,0.64916866,0.35083134,0
CAM046219,0,1,77.95412448,15.59570682,7.08749935,0.565331687,15.61895757,7.362990018,2.200452664,-0.521834432,-0.056705889,0.045804463,-0.073673567,-0.059449447,0.051186113,0.018973505,0.00734559,-0.044450752,-0.023210674,0.034399973,0.004416489,0.014662632,0.003904358,0.002681052,0.019028693,-0.011648978,-0.009648964,0.013237684,0.002082929,-0.001666976,-0.003909574,-0.007103939,-0.00273568,-0.003464104,0.729547118,0.570297137,0.324994546,0.827399923,0.681249758,0.451502656,0.361766257,0.638233743,77.87431021,15.18825366,7.174210422,0.55956372,15.66699369,7.359279337,2.117062752,-0.526695043,-0.056988135,-0.061060862,0.067193246,-0.061167411,0.054238519,-0.019833766,-0.007374976,-0.045793878,-0.021297797,-0.035880124,-0.003029743,0.014603582,0.003717599,-0.000243627,-0.015366548,-0.010989221,-0.009023744,-0.014704679,-0.000554087,0.001335062,-0.002305646,0.007847118,0.002498315,-0.001747296,0.534099406,0.422165268,0.268233656,0.813723792,0.714506784,0.528741855,0.238833274,0.761166726,0
CAM046220,0,1,87.57010034,17.53466721,7.148934791,0.479687472,17.87914005,7.537748664,2.452766422,-0.45563241,-0.08551705,0.051457661,-0.041141834,-0.06957594,0.046541805,0.016942681,0.009547243,-0.03643833,-0.041225706,0.032380262,0.006054044,0.018641897,0.005475491,0.00254171,0.012397846,0.000511709,-0.016808569,0.010439379,0.002894579,0.005384681,0.004455359,-0.007650336,0.000729743,-0.001275585,0.776430891,0.643110504,0.416735531,0.613358002,0.463999886,0.256700944,0.561556435,0.438443565,86.35011581,17.15543488,7.807950704,0.507769199,17.76565434,7.398924931,2.197175102,-0.452277655,-0.071069283,-0.05558233,0.039000885,-0.074644006,0.050018428,-0.007870771,-0.005334328,-0.043751075,-0.038873129,-0.034613617,-0.004298254,0.014726492,0.005537478,-0.002810234,-0.012567439,-0.001089866,-0.014367977,-0.014562468,-0.006408632,0.004174154,0.002639821,0.00676843,-0.003367587,-0.001168504,0.557949697,0.437640625,0.257807804,0.767381082,0.676806348,0.483894888,0.381117306,0.618882694,0
CAM046221,0,1,105.3315916,20.42221624,7.708656701,0.512201196,19.81406032,8.363095148,2.649257456,-0.427005075,-0.034945293,0.027648124,-0.055411576,-0.102639339,0.069813666,0.012686031,-0.017182087,-0.065563324,-0.024806717,0.022633574,0.000733916,0.015911173,0.014723544,0.009884203,0.001704991,-0.01287506,-0.017058462,0.009317271,0.011599653,0.010264733,0.002717272,0.003816258,-0.000536981,-0.010845127,0.80526612,0.675912895,0.4565552,0.714480662,0.52418666,0.275675606,0.532189508,0.467810492,105.1639816,19.85990885,7.913104707,0.50310471,19.86141758,8.268188761,2.509749281,-0.41926007,-0.029891892,-0.032343892,0.050346077,-0.099812991,0.066843288,-0.012224136,0.01308543,-0.060714636,-0.024139251,-0.01704924,-0.000396911,0.018515573,0.012107516,-0.012659599,-0.004986821,-0.012006562,-0.018712215,-0.007291972,-0.010478446,0.01189924,0.00616681,-0.003841569,-0.002078992,-0.012071847,0.813228418,0.71857125,0.529170242,0.557424097,0.432044634,0.262805181,0.749100587,0.250899413,0
