efd_1_d: 0.5502303030303031,,,,,efd_21_v: 0.530678787878788,,,,efd_4_d: 0.5190943396226414,,,,,efd_6_d: 0.5301604938271605
colour_0_g_d: 0.5475757575757576,,,,,efd_3_d: 0.5276727272727272,,,,efd_16_v: 0.5185911949685535,,,,,efd_18_d: 0.5280987654320989
percentage_0_v: 0.5472727272727272,,,,,efd_19_d: 0.5273818181818182,,,,percentage_0_v: 0.5177232704402516,,,,,circ_v: 0.5275802469135803
efd_7_v: 0.5462545454545454,,,,,efd_9_d: 0.5268121212121213,,,,percentage_1_v: 0.5173836477987421,,,,,colour_0_g_d: 0.5271604938271605
efd_16_v: 0.5437575757575758,,,,,efd_4_v: 0.5261212121212121,,,,efd_1_v: 0.5165786163522011,,,,,efd_1_d: 0.5270123456790123
percentage_1_v: 0.5416727272727273,,,,,colour_0_r_d: 0.5256242424242424,,,,efd_15_d: 0.5157106918238994,,,,,efd_21_d: 0.5269753086419753
efd_12_d: 0.5403272727272728,,,,,efd_1_v: 0.5203272727272727,,,,efd_11_v: 0.514817610062893,,,,,colour_0_b_d: 0.5265432098765432
efd_20_d: 0.5399878787878788,,,,,efd_22_v: 0.5202545454545454,,,,efd_20_d: 0.510251572327044,,,,,efd_12_v: 0.5258024691358024
colour_0_r_d: 0.5384727272727273,,,,,ar_d: 0.519660606060606,,,,efd_17_v: 0.5095220125786164,,,,,efd_12_d: 0.5251604938271605
efd_5_v: 0.5379878787878788,,,,,efd_12_d: 0.5162666666666667,,,,efd_16_d: 0.5092075471698113,,,,,efd_22_d: 0.5234691358024691
colour_0_b_d: 0.5370545454545455,,,,,efd_4_d: 0.514630303030303,,,,efd_21_d: 0.5056226415094339,,,,,efd_10_v: 0.5219012345679013
circ_v: 0.5338787878787878,,,,,efd_18_d: 0.5140848484848484,,,,efd_3_v: 0.5044779874213836,,,,,efd_11_d: 0.519679012345679
efd_13_d: 0.5291515151515153,,,,,efd_0_v: 0.5132121212121212,,,,efd_3_d: 0.5036981132075472,,,,,colour_0_r_d: 0.5182962962962963
efd_9_d: 0.5291393939393939,,,,,efd_14_v: 0.512290909090909,,,,circ_d: 0.5016477987421383,,,,,efd_7_v: 0.517320987654321
efd_4_d: 0.526630303030303,,,,,colour_1_b_d: 0.5121818181818182,,,,ar_d: 0.5013962264150944,,,,,efd_16_v: 0.514283950617284
efd_15_v: 0.5259272727272727,,,,,efd_7_v: 0.5120848484848484,,,,efd_5_d: 0.5013962264150944,,,,,efd_7_d: 0.5136913580246913
circ_d: 0.5240848484848484,,,,,efd_1_d: 0.5111393939393939,,,,ar_v: 0.5003647798742138,,,,,efd_17_d: 0.5110617283950617
efd_6_d: 0.5238424242424241,,,,,efd_24_d: 0.510230303030303,,,,efd_24_v: 0.49982389937106914,,,,,efd_23_v: 0.5066543209876543
efd_2_d: 0.5161090909090909,,,,,efd_20_d: 0.5062424242424243,,,,efd_18_v: 0.49735849056603776,,,,,efd_24_v: 0.5054814814814815
efd_0_d: 0.5160727272727272,,,,,efd_20_v: 0.5052727272727272,,,,circ_v: 0.49686792452830186,,,,,efd_2_v: 0.5048765432098765
efd_10_d: 0.5126666666666667,,,,,efd_12_v: 0.5052,,,,efd_23_d: 0.4949182389937106,,,,,circ_d: 0.5045185185185186
ar_v: 0.5117212121212121,,,,,efd_18_v: 0.5045212121212121,,,,efd_9_v: 0.49464150943396223,,,,,percentage_1_v: 0.5042962962962964
