cam.id,country,state,lat,lon,altitude.m,bam.depth.mean.wg.mapq20,species.id.pcangsd.admix.10.90,pcangsd.admix.prop.zea,pcangsd.admix.prop.arm,sex.depth.genital.consensous
CAM046656,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,0.15,arm,0.010089852,0.989910066,cant.be.det
CAM046657,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,1.03,arm,0.002582674,0.997417331,male
CAM046658,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,0.83,arm,0.008882748,0.991117239,cant.be.det
CAM046659,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,1.73,arm,0.000141261,0.999858737,female
CAM046660,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,5.49,arm,0.009859978,0.990140021,female
CAM046661,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,6.62,arm,0.000100023,0.999899983,male
CAM046662,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,6.18,arm,0.005450862,0.994549155,male
CAM046663,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,7.89,arm,1E-04,0.999899983,male
CAM046664,Brazil,Mato Grosso do Sul,-18.448611,-52.756667,NA,0.06,hyb,0.126465932,0.873534083,cant.be.det
CAM046683,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,0.17,arm,0.009400831,0.990599155,cant.be.det
CAM046684,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,4.43,arm,1E-04,0.999899983,female
CAM046685,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,2.13,arm,0.005527757,0.994472265,male
CAM046686,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,5.01,arm,1E-04,0.999899983,female
CAM046687,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,7.05,arm,0.001074306,0.998925686,male
CAM046689,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,0.21,hyb,0.127014697,0.872985303,cant.be.det
CAM046690,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,0.11,hyb,0.293461114,0.706538916,cant.be.det
CAM046691,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,1.15,arm,0.006708955,0.99329108,female
CAM046692,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,4.75,arm,1E-04,0.999899983,male
CAM046693,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,0.16,arm,0.021283276,0.978716731,cant.be.det
CAM046695,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,0.75,arm,0.002377433,0.99762255,cant.be.det
CAM046696,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,0.11,hyb,0.121591546,0.878408432,cant.be.det
CAM046697,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,0.85,arm,0.008373203,0.991626799,cant.be.det
CAM046698,Brazil,Mato Grosso do Sul,-18.748333,-52.595556,NA,1.69,hyb,0.212420776,0.787579238,cant.be.det
CAM046719,Brazil,Mato Grosso do Sul,-18.764467,-52.643839,NA,0.07,arm,0.098147169,0.901852787,cant.be.det
CAM046720,Brazil,Mato Grosso do Sul,-18.764467,-52.643839,NA,0.11,arm,0.024710301,0.975289702,cant.be.det
CAM046721,Brazil,Mato Grosso do Sul,-18.764467,-52.643839,NA,5.8,arm,0.001962248,0.998037755,female
CAM046722,Brazil,Mato Grosso do Sul,-18.764467,-52.643839,NA,0.1,arm,0.09371984,0.90628016,cant.be.det
CAM046725,Brazil,Mato Grosso do Sul,-18.764467,-52.643839,NA,5.53,arm,1E-04,0.999899983,female
CAM046727,Brazil,Mato Grosso,-13.280278,-57.984722,NA,5.83,arm,1E-04,0.999899983,female
CAM046728,Brazil,Mato Grosso,-13.280278,-57.984722,NA,3.23,arm,0.013343348,0.986656666,male
CAM046729,Brazil,Mato Grosso,-13.280278,-57.984722,NA,0.07,hyb,0.170937419,0.829062581,cant.be.det
CAM046731,Brazil,Mato Grosso,-13.280278,-57.984722,NA,2.27,arm,1E-04,0.999899983,female
CAM046732,Brazil,Mato Grosso,-13.280278,-57.984722,NA,0.17,arm,0.014384125,0.985615849,cant.be.det
CAM046733,Brazil,Mato Grosso,-13.280278,-57.984722,NA,3.58,arm,1E-04,0.999899983,female
CAM046734,Brazil,Mato Grosso,-13.280278,-57.984722,NA,0.1,arm,0.012434673,0.987565339,cant.be.det
CAM046737,Brazil,Mato Grosso,-13.280278,-57.984722,NA,3.06,arm,0.001630512,0.998369455,male
CAM046738,Brazil,Mato Grosso,-13.280278,-57.984722,NA,0.72,arm,0.005394063,0.994605899,cant.be.det
CAM046739,Brazil,Mato Grosso,-13.280278,-57.984722,NA,0.04,hyb,0.264122874,0.735877156,cant.be.det
CAM046740,Brazil,Mato Grosso,-13.280278,-57.984722,NA,0.05,hyb,0.336058676,0.663941324,cant.be.det
CAM046750,Brazil,Bahia,-11.777778,-45.806111,NA,0.09,hyb,0.866244137,0.133755833,cant.be.det
CAM046751,Brazil,Bahia,-11.777778,-45.806111,NA,4.56,arm,0.002145895,0.997854114,female
CAM046752,Brazil,Bahia,-11.777778,-45.806111,NA,0.05,hyb,0.171595857,0.828404129,cant.be.det
CAM046753,Brazil,Bahia,-11.777778,-45.806111,NA,2.99,arm,1E-04,0.999899983,female
CAM046754,Brazil,Bahia,-11.777778,-45.806111,NA,3.6,zea,0.998725891,0.001274085,male
CAM046756,Brazil,Bahia,-11.777778,-45.806111,NA,0.05,hyb,0.189414978,0.810585022,cant.be.det
CAM046759,Brazil,Bahia,-11.777778,-45.806111,NA,0.14,arm,0.017042935,0.982957065,cant.be.det
CAM046760,Brazil,Bahia,-11.777778,-45.806111,NA,3.27,zea,0.999899983,1E-04,male
CAM046761,Brazil,Bahia,-11.777778,-45.806111,NA,2.54,zea,0.999899983,1E-04,male
CAM046762,Brazil,Bahia,-11.777778,-45.806111,NA,3.43,arm,1E-04,0.999899983,female
CAM046763,Brazil,Bahia,-11.777778,-45.806111,NA,3.36,arm,0.0088988,0.991101205,female
CAM046764,Brazil,Bahia,-11.777778,-45.806111,NA,0.06,hyb,0.251681894,0.748318136,cant.be.det
CAM046773,Brazil,Bahia,-11.777778,-45.806111,NA,3.17,arm,0.004718458,0.995281577,female
CAM046775,Brazil,Bahia,-11.777778,-45.806111,NA,0.52,zea,0.997026622,0.002973392,cant.be.det
CAM046777,Brazil,Bahia,-11.777778,-45.806111,NA,2.01,arm,0.005612573,0.994387448,female
CAM046779,Brazil,Mato Grosso,-15.527778,-54.345833,NA,4.17,arm,1E-04,0.999899983,female
CAM046780,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.12,arm,0.033836659,0.966163337,cant.be.det
CAM046781,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.07,arm,0.044392399,0.955607593,cant.be.det
CAM046782,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.04,hyb,0.198418185,0.8015818,cant.be.det
CAM046783,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.04,hyb,0.227133587,0.772866428,cant.be.det
CAM046784,Brazil,Mato Grosso,-15.527778,-54.345833,NA,4.73,arm,1E-04,0.999899983,female
CAM046785,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.07,hyb,0.195315793,0.804684162,cant.be.det
CAM046786,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.13,arm,0.054115426,0.945884645,cant.be.det
CAM046787,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.06,hyb,0.2003766,0.79962343,cant.be.det
CAM046788,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.06,hyb,0.119363628,0.880636394,cant.be.det
CAM046789,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.06,hyb,0.213882983,0.786117017,cant.be.det
CAM046790,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.06,arm,0.093622506,0.906377494,cant.be.det
CAM046791,Brazil,Mato Grosso,-15.527778,-54.345833,NA,4.08,arm,1E-04,0.999899983,female
CAM046834,Brazil,Sao Paulo,-22.447778,-47.200967,NA,4.37,zea,0.999899983,1E-04,female
CAM046835,Brazil,Sao Paulo,-22.447778,-47.200967,NA,3,zea,0.999899983,1E-04,female
CAM046837,Brazil,Sao Paulo,-22.447778,-47.200967,NA,3.57,zea,0.999899983,1E-04,male
CAM046840,Brazil,Sao Paulo,-22.447778,-47.200967,NA,3.17,zea,0.999899983,1E-04,male
CAM046843,Brazil,Mato Grosso do Sul,-18.527222,-53.010278,NA,0.67,arm,1E-04,0.999899983,cant.be.det
CAM046845,Brazil,Mato Grosso do Sul,-18.527222,-53.010278,NA,0.09,hyb,0.100346312,0.899653733,cant.be.det
CAM046846,Brazil,Mato Grosso do Sul,-18.527222,-53.010278,NA,5.07,arm,1E-04,0.999899983,female
CAM046847,Brazil,Mato Grosso do Sul,-18.527222,-53.010278,NA,0.24,arm,0.000100013,0.999899983,cant.be.det
CAM046850,Brazil,Mato Grosso do Sul,-18.527222,-53.010278,NA,0.05,arm,0.064787447,0.935212553,cant.be.det
CAM046851,Brazil,Mato Grosso do Sul,-18.527222,-53.010278,NA,0.11,arm,0.018459098,0.981540918,cant.be.det
CAM046854,Brazil,Mato Grosso do Sul,-18.764467,-52.643839,NA,0.07,arm,0.043500718,0.956499279,cant.be.det
CAM046855,Brazil,Mato Grosso do Sul,-18.764467,-52.643839,NA,0.29,arm,0.001679229,0.998320758,cant.be.det
CAM046856,Brazil,Mato Grosso do Sul,-18.764467,-52.643839,NA,0.18,arm,0.008445513,0.991554439,cant.be.det
CAM046871,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,2.44,arm,1E-04,0.999899983,female
CAM046872,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,0.05,hyb,0.153211221,0.846788764,cant.be.det
CAM046873,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,4.39,arm,0.004055521,0.9959445,female
CAM046874,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,0.36,arm,0.002587253,0.997412741,cant.be.det
CAM046876,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,4.44,arm,0.002396679,0.997603357,male
CAM046877,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,5.36,arm,0.000100011,0.999899983,female
CAM046878,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,5.23,arm,0.001797351,0.998202622,female
CAM046880,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,4.85,arm,0.001014986,0.998984993,male
CAM046887,Brazil,Mato Grosso do Sul,-18.793889,-52.622779,NA,0.21,arm,0.028567936,0.97143203,cant.be.det
CAM046930,Brazil,Mato Grosso,-13.18057219,-58.67108636,NA,5.9,arm,1E-04,0.999899983,female
CAM046932,Brazil,Mato Grosso,-13.18057219,-58.67108636,NA,1.06,hyb,0.215655342,0.784344733,cant.be.det
CAM046933,Brazil,Mato Grosso,-13.18057219,-58.67108636,NA,0.06,arm,0.082206808,0.917793214,cant.be.det
CAM046936,Brazil,Mato Grosso,-13.18057219,-58.67108636,NA,0.06,hyb,0.26657936,0.73342067,cant.be.det
CAM046939,Brazil,Mato Grosso,-13.18057219,-58.67108636,NA,0.08,hyb,0.122199565,0.877800405,cant.be.det
CAM046940,Brazil,Mato Grosso,-13.18057219,-58.67108636,NA,3.29,arm,0.005172371,0.994827628,male
CAM046941,Brazil,Mato Grosso,-13.18057219,-58.67108636,NA,0.05,arm,0.053278174,0.946721852,cant.be.det
CAM046943,Brazil,Mato Grosso,-13.18057219,-58.67108636,NA,0.04,hyb,0.383987427,0.616012573,cant.be.det
CAM046952,Brazil,Mato Grosso,-16.3525,-52.046683,NA,3.48,arm,0.002755917,0.99724412,male
CAM046953,Brazil,Mato Grosso,-16.3525,-52.046683,NA,4.08,arm,1E-04,0.999899983,female
CAM046955,Brazil,Mato Grosso,-16.3525,-52.046683,NA,0.75,arm,1E-04,0.999899983,cant.be.det
CAM046958,Brazil,Mato Grosso,-16.3525,-52.046683,NA,2.66,arm,1E-04,0.999899983,cant.be.det
CAM046959,Brazil,Mato Grosso,-16.3525,-52.046683,NA,2.43,arm,0.010910503,0.989089489,male
CAM046960,Brazil,Mato Grosso,-16.3525,-52.046683,NA,2.77,arm,1E-04,0.999899983,female
CAM046961,Brazil,Mato Grosso,-16.3525,-52.046683,NA,3.71,arm,0.00220223,0.997797728,female
CAM046962,Brazil,Mato Grosso,-16.3525,-52.046683,NA,0.03,hyb,0.114761077,0.885238945,cant.be.det
CAM046963,Brazil,Mato Grosso,-16.3525,-52.046683,NA,2.36,arm,0.005096412,0.994903564,male
CAM046964,Brazil,Mato Grosso,-16.3525,-52.046683,NA,0.52,arm,1E-04,0.999899983,cant.be.det
CAM046967,Brazil,Mato Grosso,-16.3525,-52.046683,NA,1.01,arm,0.008616373,0.991383612,female
CAM046970,Brazil,Mato Grosso,-16.3525,-52.046683,NA,2.19,arm,1E-04,0.999899983,male
CAM046972,Brazil,Mato Grosso,-16.3525,-52.046683,NA,0.57,arm,1E-04,0.999899983,cant.be.det
CAM046973,Brazil,Mato Grosso,-16.3525,-52.046683,NA,3.41,arm,0.009231685,0.990768313,female
CAM046976,Brazil,Mato Grosso,-16.3525,-52.046683,NA,3.89,arm,0.009691772,0.990308285,male
CAM046978,Brazil,Mato Grosso,-16.3525,-52.046683,NA,1.15,arm,0.001758872,0.998241127,male
CAM046979,Brazil,Mato Grosso,-16.3525,-52.046683,NA,4.33,arm,1E-04,0.999899983,male
CAM046980,Brazil,Mato Grosso,-16.3525,-52.046683,NA,0.07,hyb,0.257218719,0.742781281,cant.be.det
CAM046981,Brazil,Mato Grosso,-16.3525,-52.046683,NA,2.96,zea,0.999899983,1E-04,female
CAM046982,Brazil,Mato Grosso,-16.3525,-52.046683,NA,2.12,arm,0.007436632,0.992563367,male
CAM047002,Brazil,Bahia,-12.700556,-45.828056,NA,1.84,arm,1E-04,0.999899983,female
CAM047003,Brazil,Bahia,-12.700556,-45.828056,NA,2.91,arm,0.005345217,0.994654775,female
CAM047004,Brazil,Bahia,-12.700556,-45.828056,NA,0.81,arm,0.005925376,0.994074583,cant.be.det
CAM047008,Brazil,Bahia,-12.700556,-45.828056,NA,4.9,arm,1E-04,0.999899983,male
CAM047009,Brazil,Bahia,-12.700556,-45.828056,NA,5.54,arm,0.000347163,0.999652803,male
CAM047013,Brazil,Bahia,-12.700556,-45.828056,NA,4.55,arm,1E-04,0.999899983,female
CAM047018,Brazil,Bahia,-12.700556,-45.828056,NA,3.56,arm,0.016286341,0.983713627,male
CAM047022,Brazil,Bahia,-12.700556,-45.828056,NA,?FIND,arm,0.002948071,0.997051954,0
CAM047025,Brazil,Mato Grosso,-17.073333,-54.245833,NA,2.44,hyb,0.211961254,0.788038731,cant.be.det
CAM047026,Brazil,Mato Grosso,-17.073333,-54.245833,NA,2.57,hyb,0.211207986,0.788791955,cant.be.det
CAM047027,Brazil,Mato Grosso,-17.073333,-54.245833,NA,4.83,arm,1E-04,0.999899983,female
CAM047030,Brazil,Mato Grosso,-15.558889,-54.779444,NA,2.46,arm,1E-04,0.999899983,male
CAM047031,Brazil,Mato Grosso,-15.558889,-54.779444,NA,0.05,hyb,0.140930548,0.859069467,cant.be.det
CAM047113,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.03,arm,0.050221868,0.94977814,cant.be.det
CAM047114,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.05,arm,0.080431998,0.919568002,cant.be.det
CAM047115,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.04,arm,0.068418868,0.931581199,cant.be.det
CAM047116,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.16,arm,0.013047253,0.986952782,cant.be.det
CAM047117,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.09,arm,0.030568216,0.969431758,cant.be.det
CAM047118,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.16,arm,0.003608712,0.996391296,cant.be.det
CAM047119,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.18,arm,0.014793376,0.985206664,cant.be.det
CAM047120,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.13,arm,0.070175067,0.929824889,cant.be.det
CAM047121,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.07,hyb,0.202044472,0.797955513,cant.be.det
CAM047122,Brazil,Mato Grosso do Sul,-18.800028,-52.667778,NA,0.03,hyb,0.349307239,0.650692701,cant.be.det
CAM047163,Brazil,Bahia,-12.088614,-45.797573,NA,5.23,arm,1E-04,0.999899983,male
CAM047164,Brazil,Bahia,-12.088614,-45.797573,NA,6.12,arm,1E-04,0.999899983,female
CAM047165,Brazil,Bahia,-12.088614,-45.797573,NA,5.92,arm,1E-04,0.999899983,female
CAM047167,Brazil,Bahia,-12.088614,-45.797573,NA,5.49,arm,1E-04,0.999899983,male
CAM047168,Brazil,Bahia,-12.088614,-45.797573,NA,4.89,arm,1E-04,0.999899983,female
CAM047169,Brazil,Bahia,-12.088614,-45.797573,NA,6.48,arm,0.006104411,0.99389559,female
CAM047170,Brazil,Bahia,-12.088614,-45.797573,NA,5.93,arm,0.013184616,0.986815393,male
CAM047171,Brazil,Bahia,-12.088614,-45.797573,NA,4.9,arm,1E-04,0.999899983,female
CAM047172,Brazil,Bahia,-12.088614,-45.797573,NA,6.1,arm,0.000100004,0.999899983,male
CAM047173,Brazil,Bahia,-12.088614,-45.797573,NA,6.04,arm,1E-04,0.999899983,male
CAM047174,Brazil,Bahia,-12.088614,-45.797573,NA,6.09,arm,1E-04,0.999899983,female
CAM047175,Brazil,Bahia,-12.088614,-45.797573,NA,4.36,arm,1E-04,0.999899983,female
CAM047204,Brazil,Bahia,-12.184028,-45.798056,NA,5.61,arm,0.003553428,0.996446609,female
