CamID,Source.sheet,Year,Locality/Population,Lat,Lon,sex.by.median.norm.depth.chr1.highest.depth.sample,sex.depth.genital.consensous
CAM046961,Mastersheet,2017,MT28,-15.6475,-52.04666667,female,0
CAM046962,Mastersheet,2017,MT28,-15.6475,-52.04666667,cant.be.det,0
CAM046963,Mastersheet,2017,MT28,-15.6475,-52.04666667,male,0
CAM046964,Mastersheet,2017,MT28,-15.6475,-52.04666667,cant.be.det,0
CAM046965,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046966,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046967,Mastersheet,2017,MT28,-15.6475,-52.04666667,female,0
CAM046968,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046969,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046970,Mastersheet,2017,MT28,-15.6475,-52.04666667,male,0
CAM046971,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046972,Mastersheet,2017,MT28,-15.6475,-52.04666667,cant.be.det,0
CAM046973,Mastersheet,2017,MT28,-15.6475,-52.04666667,female,0
CAM046974,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046975,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046976,Mastersheet,2017,MT28,-15.6475,-52.04666667,male,0
CAM046977,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046978,Mastersheet,2017,MT28,-15.6475,-52.04666667,male,0
CAM046979,Mastersheet,2017,MT28,-15.6475,-52.04666667,male,0
CAM046980,Mastersheet,2017,MT28,-15.6475,-52.04666667,cant.be.det,0
CAM046981,Mastersheet,2017,MT28,-15.6475,-52.04666667,female,0
CAM046982,Mastersheet,2017,MT28,-15.6475,-52.04666667,male,0
CAM046983,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046984,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046985,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046986,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046987,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046988,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046989,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046990,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046991,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046992,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046993,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046994,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046995,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046996,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046997,batch2 - all,2017,MT28,-15.6475,-52.04666667,,
CAM046998,batch2 - all,2016,MT26,-12.71972222,-57.98472222,,
CAM046999,batch2 - all,2016,MT26,-12.71972222,-57.98472222,,
CAM047000,batch2 - all,2016,MT26,-12.71972222,-57.98472222,,
CAM047001,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047002,Mastersheet,2014,BA54,-11.29944444,-45.82805556,female,0
CAM047003,Mastersheet,2014,BA54,-11.29944444,-45.82805556,female,0
CAM047004,Mastersheet,2014,BA54,-11.29944444,-45.82805556,cant.be.det,0
CAM047005,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047006,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047007,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047008,Mastersheet,2014,BA54,-11.29944444,-45.82805556,male,0
CAM047009,Mastersheet,2014,BA54,-11.29944444,-45.82805556,male,0
CAM047010,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047011,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047012,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047013,Mastersheet,2014,BA54,-11.29944444,-45.82805556,female,0
CAM047014,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047015,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047016,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047017,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047018,Mastersheet,2014,BA54,-11.29944444,-45.82805556,male,0
CAM047019,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047020,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047021,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047022,Mastersheet,2014,BA54,-11.29944444,-45.82805556,0,0
CAM047023,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047024,batch2 - all,2014,BA54,-11.29944444,-45.82805556,,
CAM047025,Mastersheet,2018,MT30,-16.92666667,-54.24583333,cant.be.det,0
CAM047026,Mastersheet,2018,MT30,-16.92666667,-54.24583333,cant.be.det,0
CAM047027,Mastersheet,2018,MT30,-16.92666667,-54.24583333,female,0
CAM047028,batch2 - all,2016,MT18,-12.12972222,-58.73111111,,
CAM047029,batch2 - all,2016,MT18,-12.12972222,-58.73111111,,
CAM047030,Mastersheet,2016,MT19,-14.44111111,-54.77944444,male,0
CAM047031,Mastersheet,2016,MT19,-14.44111111,-54.77944444,cant.be.det,0
CAM047032,batch2 - all,2016,MT26,-12.71972222,-57.98472222,,
CAM047033,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047034,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047035,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047036,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047037,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047038,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047039,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047040,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047041,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047042,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047043,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047044,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047045,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047046,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047047,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047048,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047049,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047050,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047051,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047052,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047053,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047054,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047055,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047056,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047057,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047058,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047059,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047060,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047061,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047062,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047063,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047064,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047065,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047066,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047067,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047068,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047069,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047070,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047071,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047072,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047073,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047074,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047075,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047076,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047077,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047078,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047079,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047080,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047081,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047082,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047083,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047084,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047085,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047086,batch2 - all,2014,BA55,-11.63666667,-44.97333333,,
CAM047087,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047088,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047089,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047090,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047091,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047092,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047093,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047094,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047095,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047096,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047097,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047098,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047099,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047100,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047101,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047102,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047103,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047104,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047105,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047106,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047107,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047108,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047109,batch2 - all,2018,MS10,-17.2211,-53.07083,,
CAM047110,batch2 - all,2018,MS11,-17.2,-52.66777778,,
